name,role,Latitude ,Longitude,allowed_load_types,default_units_loaded,notes
HOPKINS E&B,pickup,35.53006,-119.85824,crude,150,
HOPKINS LEASE,pickup,35.4181,-119.702,crude,150,
HOUCHIN LEASE,pickup,35.2409,-119.624,crude,150,
HOUGHTON LEASE,pickup,35.3583,-119.158,crude,150,
HOYT (SENECA) LEASE,pickup,35.0562,-119.381,crude,150,
HOYT LEASE,pickup,35.341,-119.648,crude,150,
HUNSUCKER LEASE,pickup,34.2026,-119.107,crude,150,
ISABEL LEASE,pickup,35.5585,-119.081,crude,150,
J V SMITH LEASE,pickup,34.9887,-118.926,crude,150,
JADE KERN LEASE,pickup,35.1501,-119.484,crude,150,
JADE WOODWARD LEASE,pickup,35.147,-119.493,crude,150,
JASMINE,pickup,35.7442,-119.045,crude,150,
JENSON,pickup,36.4334,-119.872,crude,150,
JEWETT LEASE,pickup,35.2155,-118.839,crude,150,
JOHNSON LEASE,pickup,35.3641,-119.204,crude,150,
JONES LEASE,pickup,35.6517,-118.962,crude,150,
JUNCTION STATION,dropoff,35.6473,-119.956,crude,150,
JUTBU LEASE,pickup,36.0792,-120.324,crude,150,
JZU BRITE LEASE,pickup,35.2262,-118.866,crude,150,
KAPGEG #1 DOLE ENTERPRISES,pickup,35.4069,-119.159,crude,150,
KARPE LEASE,pickup,35.3646,-119.17,crude,150,
KB ANDERSON LEASE,pickup,35.3849,-119.763,crude,150,
KB BALL LEASE,pickup,35.3607,-119.69,crude,150,
KCL (HATHAWAY) LEASE,pickup,35.395,-119.053,crude,150,
KCL A LEASE,pickup,35.3131,-119.145,crude,150,
KCL LEASE,pickup,35.3651,-119.064,crude,150,
KCL-58,pickup,,,crude,150,
KEMP LEASE - TEAM OPERATING,pickup,34.8968,-120.386,crude,150,
KERN FRONT SEC. 27 LEASE,pickup,35.4568,-119.055,crude,150,
KERN OIL REFINING,pickup,35.2949,-118.917,crude,150,
KERN OIL TEN SECTION LEASE,pickup,35.2819,-119.221,crude,150,
KERNLAND LEASE,pickup,35.3688,-119.056,crude,150,
KETTLEMAN STATION (LOWER RACK),pickup,35.9979,-119.964,crude,150,
KEVIN'S HOME,pickup,35.4212,-119.13,crude,150,
KINDER MORGAN FRESNO,pickup,36.6747,-119.747,crude,150,
KING AND ELLIS LEASE,pickup,35.466,-119.75,crude,150,
KING ELLIS 20 DEHY LACT,pickup,35.4768,-119.743,crude,150,
KING SECTION 16,pickup,35.1414,-119.403,crude,150,
KKSCW - SENTINEL PEAK,pickup,,,crude,150,
KNOWLES LEASE,pickup,35.1839,-118.843,crude,150,
KOR CRUDE RACK,pickup,35.2948,-118.913,crude,150,
KOR SCALES,pickup,35.2958,-118.924,crude,150,
KRUGER,pickup,,,crude,150,
KUHNS TRUST,pickup,35.489,-119.465,crude,150,
LAS PALMAS OIL & DEHYDRATION,pickup,35.3875,-119.048,crude,150,
LAYMAN - CRC,pickup,35.4877,-119.855,crude,150,
LAYMANCE LEASE,pickup,35.3033,-119.633,crude,150,
LCO AZUZA,pickup,34.1209,-117.937,crude,150,
LENHARDT,pickup,35.4734,-119.058,crude,150,
LEROY PINE LEASE,pickup,34.9406,-120.523,crude,150,
LEWIS TRICO LEASE,pickup,35.6221,-118.956,crude,150,
LINCOLN,pickup,35.0377,-119.376,crude,150,
LITTLE CREEK,pickup,35.6449,-118.957,crude,150,
LOMBARDI LEASE,pickup,35.988,-120.878,crude,150,
LOVGREN,pickup,35.3662,-119.204,crude,150,
LOWER 9 LEASE,pickup,35.4226,-118.979,crude,150,
LUETHOLTZ,pickup,35.0276,-119.328,crude,150,
LUNDAY THAGARD REFINERY,pickup,33.946,-118.165,crude,150,
LUTON LEASE,pickup,34.7345,-120.16,crude,150,
LV SMITH LEASE,pickup,35.3423,-118.92,crude,150,
LYNCH CANYON,pickup,35.9961,-120.846,crude,150,
M AND M LEASE,pickup,35.2942,-119.657,crude,150,
MABLE STRAWN - CRIMSON,pickup,34.4537,-118.643,crude,150,
MABRY LEASE,pickup,35.5259,-119.079,crude,150,
MACPHERSON - ROUND MOUNTAIN LEASE,pickup,35.491,-118.896,crude,150,
MACPHERSON MT. POSO,pickup,35.5725,-118.993,crude,150,
MAGENHEIMER LEASE,pickup,34.7947,-120.263,crude,150,
MAK OIL,pickup,,,crude,150,
MALIBU 23-1,pickup,35.6452,-119.473,crude,150,
MARICOPA LEASE,pickup,35.0497,-119.363,crude,150,
MARICOPA WELLINGTON LEASE,pickup,35.0548,-119.354,crude,150,
MARILYN FEE A LEASE,pickup,35.73,-119.991,crude,150,
MARILYN FEE B LEASE,pickup,35.7282,-119.99,crude,150,
MARILYN LEBARON LEASE,pickup,35.7311,-119.992,crude,150,
MARK MORRIS HARRIS LEASE - BALLARD OIL,pickup,35.2958,-118.826,crude,150,
MATTSON,pickup,,,crude,150,
MCKITTRICK STATION,dropoff,35.3247,-119.651,crude,150,
MCPHAIL LEASE,pickup,35.5368,-119.776,crude,150,
MCVANN LEASE,pickup,35.5804,-119.04,crude,150,
MEADOWS RANCH LEASE,pickup,35.2645,-119.564,crude,150,
METSON STATION,pickup,35.0168,-119.289,crude,150,
METTLER OIL LEASE - AMRICH,pickup,35.2993,-118.825,crude,150,
MIDDLE DOME ENTRANCE,pickup,35.899,-119.915,crude,150,
MIDDLE DOME LEASE,pickup,35.9001,-119.954,crude,150,
MIDNORTH LEASE,pickup,35.0852,-119.362,crude,150,
MIDWAY PACIFIC LEASE,pickup,35.2217,-119.565,crude,150,
MIDWAY PREMIER LEASE,pickup,35.5341,-119.086,crude,150,
MIDWAY PREMIER VICTORY LEASE,pickup,35.3785,-119.705,crude,150,
MINERALS DONOVAN LEASE,pickup,34.9518,-120.593,crude,150,
MING 2,pickup,35.3947,-119.247,crude,150,
MING LEASE,pickup,35.3916,-119.242,crude,150,
MIOCENE LEASE,pickup,35.0772,-119.353,crude,150,
MOBILE OIL CORP,pickup,35.9499,-120.861,crude,150,
MOCO LEASE LOADING POINT,pickup,35.0928,-119.433,crude,150,
MONUMENT JUNCTION,pickup,,,crude,150,
MT POSO LEASE,pickup,35.597,-118.968,crude,150,
N AND W LEASE,pickup,35.0513,-119.371,crude,150,
NATIONAL DEVELOPMENT - MERIZOIAN- LEGACY OIL 2021,pickup,35.9946,-119.04,crude,150,
NEEDHAM BLOOMER,pickup,35.4152,-118.908,crude,150,
NEW HOPE EAST,pickup,35.5561,-119.083,crude,150,
NEW HOPE LEASE - BELAIRE,pickup,35.554,-119.096,crude,150,
NEWBERRY (GIBSON) LEASE,pickup,35.4507,-118.872,crude,150,
NEWHALL LEASE,pickup,34.8327,-120.475,crude,150,
NEWLOVE LEASE,pickup,34.8224,-120.413,crude,150,
NIXON LEASE,pickup,35.1835,-119.393,crude,150,
NL&F - NORTH TAPO FIELD - PATRIOT RESOURCES,pickup,,,crude,150,
NOBLE SECTION 29,pickup,36.4686,-120.029,crude,150,
NORRIS BAYLISS,pickup,35.8111,-120.041,crude,150,
NORRIS LEASE,pickup,35.8111,-120.04,crude,150,
NORTH CHARDONNAY,pickup,35.0911,-119.101,crude,150,
NORTH DOME,pickup,36.0745,-120.148,crude,150,
NORTH ROSEDALE RANCH LEASE,pickup,35.4421,-119.15,crude,150,
O BRIEN LEASE,pickup,35.0654,-119.37,crude,150,
OLCESE LEASE,pickup,35.4917,-118.86,crude,150,
OMB LEASE,pickup,34.9894,-118.911,crude,150,
OPAQUE LEASE,pickup,35.5456,-119.864,crude,150,
ORCHARD LEASE,pickup,35.7973,-120.031,crude,150,
ORRADRE LEASE,pickup,35.9494,-120.816,crude,150,
OVERLAND ANDERSON LEASE,pickup,35.3942,-119.735,crude,150,
OXY ELK HILLS,pickup,35.2406,-119.38,crude,150,
PACLAND LEASE,pickup,36.6544,-120.129,crude,150,
PALOMA LEASE,pickup,35.1951,-119.223,crude,150,
PALOMA LEASE - PLAINS,pickup,35.1668,-119.172,crude,150,
PALOMA POCO LEASE,pickup,35.1844,-119.185,crude,150,
PALOMA STATION,dropoff,35.1779,-119.161,crude,150,
PALOMA SYMONS LEASE,pickup,35.1655,-119.129,crude,150,
PARCEL K DCD LAND,pickup,,,crude,150,
PARKINSON LEASE,pickup,35.0715,-119.346,crude,150,
PARRIS LEASE,pickup,35.1476,-119.488,crude,150,
PATRICIA,pickup,35.1685,-119.513,crude,150,
PAUL LEASE - POWERDRIVE ENERGY,pickup,35.3661,-119.201,crude,150,
PBF TORRANCE,dropoff,33.8564,-118.338,crude,150,
PEDRO CUMMINGS,pickup,,,crude,150,
PENTARCH LEASE,pickup,36,-119.053,crude,150,
PENTLAND STATION,dropoff,35.0526,-119.316,crude,150,
PESHINE LEASE,pickup,34.8372,-120.507,crude,150,
PETER'S,pickup,36.4895,-119.923,crude,150,
PETRO-LUD FEEPORT 5 WELL,pickup,35.3101,-118.903,crude,150,
PHIPPIN E&B,pickup,,,crude,150,
PICKRELL-MITCHELL E&B,pickup,,,crude,150,
PINAL LEASE,pickup,34.8378,-120.414,crude,150,
PINE MEADOWS LEASE,pickup,35.2658,-119.564,crude,150,
PIONEER CANAL,pickup,35.3396,-119.292,crude,150,
PIONEER KCL 44 - CRIMSON,pickup,35.0003,-119.255,crude,150,
PIONEER LEASE,pickup,35.34,-119.289,crude,150,
PLACERITA CANYON LEASE,pickup,34.3849,-118.494,crude,150,
PORT FEE LEASE,pickup,35.3147,-118.821,crude,150,
PORTALS 67-5,pickup,,,crude,150,
PORTALS LEASE,pickup,35.3427,-118.888,crude,150,
PORTALS LEASE - CALGEM,pickup,35.354,-118.861,crude,150,
PORTER - HATHAWAY,pickup,35.5627,-119.099,crude,150,
PORTER 1 - PETRO LUD,pickup,35.3188,-118.91,crude,150,
POSCAL LEASE - GRIFFIN RESOURCES,pickup,,,crude,150,
PRICE CANYON,pickup,35.185,-120.621,crude,150,
QUINN LEASE,pickup,35.3534,-119.16,crude,150,
REARDON LEASE,pickup,35.262,-119.601,crude,150,
RICHARDS LEASE,pickup,35.2196,-118.843,crude,150,
RICHARDSON KB OIL,pickup,35.4054,-119.753,crude,150,
RICHARDSON LEASE,pickup,35.4055,-119.753,crude,150,
RIO BRAVO LEASE,pickup,35.4566,-119.274,crude,150,
RIO VIEJO,pickup,35.0818,-119.116,crude,150,
RIPLEY TATUM LEASE,pickup,35.0203,-119.296,crude,150,
RIPLEY TRUST,pickup,35.0171,-119.286,crude,150,
RIPPERDAN,pickup,36.6218,-120.066,crude,150,
RIVERDALE LEASE,pickup,36.4527,-119.905,crude,150,
ROBINSON B DEHY LEASE,pickup,35.4735,-119.058,crude,150,
ROCO - TEJON HILLS,pickup,35.0365,-118.787,crude,150,
ROCO LEASE - KEN BEARD,pickup,35.3986,-119.751,crude,150,
ROSECRANS - MAVERICK NATURAL RESOURCES (BREITBURN ENERGY),pickup,33.9017,-118.276,crude,150,
ROSEDALE TRIO LEASE,pickup,35.4421,-119.151,crude,150,
ROSENBERG - CHEVRON USA SAN ARDO,pickup,35.9654,-120.872,crude,150,
RUSSELL RANCH LEASE,pickup,34.9971,-119.81,crude,150,
S.P. GRANITE (E/B),pickup,35.6067,-118.947,crude,150,
SADD LEASE - CRIMSON,pickup,34.4579,-118.64,crude,150,
SADIE ANDREWS LEASE,pickup,35.3653,-118.876,crude,150,
SALANDINO,pickup,34.8495,-120.505,crude,150,
SALT CREEK (PLAINS) LEASE,pickup,35.4013,-119.759,crude,150,
SALT CREEK LEASE,pickup,35.3968,-119.746,crude,150,
SAN JOAQUIN LEASE,pickup,36.5895,-120.153,crude,150,
SAN JOAQUIN REFINING,dropoff,35.396,-119.047,crude,150,
SANGER LEASE,pickup,36.1318,-120.198,crude,150,
SANTA FE LEASE,pickup,35.4601,-119.851,crude,150,
SANTA FE SPRINGS - MAVERICK NATURAL RESOURCES,pickup,33.9405,-118.058,crude,150,
SANTIAGO CREEK,pickup,35.0334,-119.344,crude,150,
SCT LEASE,pickup,34.9658,-118.862,crude,150,
SE CORNER,pickup,,,crude,150,
SEABOARD SAUNDERS LEASE,pickup,35.7282,-119.839,crude,150,
SECOND LEFT TURN TO 10G,pickup,,,crude,150,
SECTION 10,pickup,35.1571,-119.381,crude,150,
SECTION 12Y LEASE,pickup,35.3224,-119.676,crude,150,
SECTION 14 KOR,pickup,35.7551,-120.002,crude,150,
SECTION 14 LEASE,pickup,35.1516,-119.37,crude,150,
SECTION 19 - HOWARD E CAYWOOD INC.,pickup,,,crude,150,
SECTION 21,pickup,35.4816,-119.078,crude,150,
SECTION 23 - CRC,pickup,35.4719,-119.037,crude,150,
SECTION 26 FEE EAST,pickup,35.1967,-119.469,crude,150,
SECTION 26 FEE WEST,pickup,35.1957,-119.478,crude,150,
SECTION 26 USL,pickup,35.3792,-118.842,crude,150,
SECTION 27 JACALITOS - PETRO-LUD,pickup,36.0762,-120.326,crude,150,
SECTION 27 RACETRACK,pickup,35.3725,-118.845,crude,150,
SECTION 30,pickup,35.1199,-119.44,crude,150,
SECTION 35 LEASE,pickup,35.4554,-119.034,crude,150,
